"GEO_ID","NAME","P5_001N","P5_002N","P5_003N","P5_004N","P5_005N","P5_006N","P5_007N","P5_008N","P5_009N","P5_010N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Institutionalized population:"," !!Total:!!Institutionalized population:!!Correctional facilities for adults"," !!Total:!!Institutionalized population:!!Juvenile facilities"," !!Total:!!Institutionalized population:!!Nursing facilities/Skilled-nursing facilities"," !!Total:!!Institutionalized population:!!Other institutional facilities"," !!Total:!!Noninstitutionalized population:"," !!Total:!!Noninstitutionalized population:!!College/University student housing"," !!Total:!!Noninstitutionalized population:!!Military quarters"," !!Total:!!Noninstitutionalized population:!!Other noninstitutional facilities",
"1400000US17105960800","Census Tract 9608, Livingston County, Illinois","73","73","0","0","73","0","0","0","0","0",
"1400000US17105960900","Census Tract 9609, Livingston County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17105961000","Census Tract 9610, Livingston County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17107952900","Census Tract 9529, Logan County, Illinois","228","0","0","0","0","0","228","228","0","0",
"1400000US17107953000","Census Tract 9530, Logan County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17107953100","Census Tract 9531, Logan County, Illinois","11","0","0","0","0","0","11","6","0","5",
"1400000US17107953200","Census Tract 9532, Logan County, Illinois","164","120","34","0","86","0","44","0","0","44",
"1400000US17107953300","Census Tract 9533, Logan County, Illinois","16","0","0","0","0","0","16","0","0","16",
"1400000US17107953400","Census Tract 9534, Logan County, Illinois","220","198","0","0","198","0","22","0","0","22",
"1400000US17107953500","Census Tract 9535, Logan County, Illinois","2518","2518","2518","0","0","0","0","0","0","0",
"1400000US17107953600","Census Tract 9536, Logan County, Illinois","63","63","0","0","63","0","0","0","0","0",
