"GEO_ID","NAME","P4_001N","P4_002N","P4_003N","P4_004N","P4_005N","P4_006N","P4_007N","P4_008N","P4_009N","P4_010N","P4_011N","P4_012N","P4_013N","P4_014N","P4_015N","P4_016N","P4_017N","P4_018N","P4_019N","P4_020N","P4_021N","P4_022N","P4_023N","P4_024N","P4_025N","P4_026N","P4_027N","P4_028N","P4_029N","P4_030N","P4_031N","P4_032N","P4_033N","P4_034N","P4_035N","P4_036N","P4_037N","P4_038N","P4_039N","P4_040N","P4_041N","P4_042N","P4_043N","P4_044N","P4_045N","P4_046N","P4_047N","P4_048N","P4_049N","P4_050N","P4_051N","P4_052N","P4_053N","P4_054N","P4_055N","P4_056N","P4_057N","P4_058N","P4_059N","P4_060N","P4_061N","P4_062N","P4_063N","P4_064N","P4_065N","P4_066N","P4_067N","P4_068N","P4_069N","P4_070N","P4_071N","P4_072N","P4_073N",
"1400000US17197880423","Census Tract 8804.23, Will County, Illinois","2826","341","2485","2409","1826","321","1","256","3","2","76","70","15","18","16","0","20","0","1","0","0","0","0","0","0","0","0","5","1","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880424","Census Tract 8804.24, Will County, Illinois","3404","420","2984","2891","2305","239","9","328","0","10","93","89","18","15","29","3","18","1","0","0","0","0","0","0","5","0","0","4","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880425","Census Tract 8804.25, Will County, Illinois","3288","1091","2197","2132","1262","459","2","403","0","6","65","61","14","10","20","2","15","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880426","Census Tract 8804.26, Will County, Illinois","3058","917","2141","2076","1320","462","5","287","0","2","65","61","6","20","9","0","13","4","5","0","0","1","0","0","3","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880427","Census Tract 8804.27, Will County, Illinois","2178","386","1792","1716","1525","127","10","53","0","1","76","75","12","29","11","0","19","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880428","Census Tract 8804.28, Will County, Illinois","3369","946","2423","2336","1698","361","5","264","0","8","87","80","13","30","13","1","20","3","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880429","Census Tract 8804.29, Will County, Illinois","3583","670","2913","2813","2309","387","0","107","0","10","100","91","20","34","16","0","12","0","0","0","9","0","0","0","0","0","0","9","0","0","0","0","3","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880430","Census Tract 8804.30, Will County, Illinois","2668","635","2033","1942","1569","253","2","104","1","13","91","87","17","21","17","2","22","0","6","2","0","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880431","Census Tract 8804.31, Will County, Illinois","4488","1049","3439","3298","2731","457","3","94","0","13","141","141","18","52","24","0","44","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880432","Census Tract 8804.32, Will County, Illinois","2973","875","2098","2001","1536","345","4","103","0","13","97","95","14","25","35","0","18","0","0","0","1","0","0","0","2","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880502","Census Tract 8805.02, Will County, Illinois","3959","371","3588","3442","3385","21","9","20","0","7","146","143","7","49","26","0","58","3","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
