"GEO_ID","NAME","H1_001N","H1_002N","H1_003N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant",
"1400000US17031070101","Census Tract 701.01, Cook County, Illinois","3125","2914","211",
"1400000US17031070102","Census Tract 701.02, Cook County, Illinois","2214","2015","199",
"1400000US17031070103","Census Tract 701.03, Cook County, Illinois","1428","1362","66",
"1400000US17031070200","Census Tract 702, Cook County, Illinois","2502","2211","291",
"1400000US17031070300","Census Tract 703, Cook County, Illinois","2146","2037","109",
"1400000US17031070400","Census Tract 704, Cook County, Illinois","1738","1620","118",
"1400000US17031070500","Census Tract 705, Cook County, Illinois","1491","1428","63",
"1400000US17031070600","Census Tract 706, Cook County, Illinois","1550","1458","92",
"1400000US17031070700","Census Tract 707, Cook County, Illinois","1963","1627","336",
"1400000US17031071000","Census Tract 710, Cook County, Illinois","1239","1131","108",
"1400000US17031071100","Census Tract 711, Cook County, Illinois","1289","1221","68",
"1400000US17031071200","Census Tract 712, Cook County, Illinois","1652","1553","99",
"1400000US17031071300","Census Tract 713, Cook County, Illinois","2169","2023","146",
"1400000US17031071400","Census Tract 714, Cook County, Illinois","3382","3041","341",
"1400000US17031071500","Census Tract 715, Cook County, Illinois","4365","3950","415",
"1400000US17031071600","Census Tract 716, Cook County, Illinois","822","754","68",
"1400000US17031071700","Census Tract 717, Cook County, Illinois","777","706","71",
"1400000US17031071800","Census Tract 718, Cook County, Illinois","1159","1109","50",
"1400000US17031080100","Census Tract 801, Cook County, Illinois","4774","4100","674",
"1400000US17031080201","Census Tract 802.01, Cook County, Illinois","2705","2399","306",
"1400000US17031080202","Census Tract 802.02, Cook County, Illinois","3191","2852","339",
"1400000US17031080300","Census Tract 803, Cook County, Illinois","3620","3229","391",
"1400000US17031080400","Census Tract 804, Cook County, Illinois","2200","2068","132",
"1400000US17031081000","Census Tract 810, Cook County, Illinois","6055","5294","761",
"1400000US17031081100","Census Tract 811, Cook County, Illinois","3391","2951","440",
"1400000US17031081201","Census Tract 812.01, Cook County, Illinois","4086","3405","681",
"1400000US17031081202","Census Tract 812.02, Cook County, Illinois","2406","2070","336",
"1400000US17031081300","Census Tract 813, Cook County, Illinois","4886","3581","1305",
"1400000US17031081401","Census Tract 814.01, Cook County, Illinois","1900","1682","218",
"1400000US17031081402","Census Tract 814.02, Cook County, Illinois","5309","4266","1043",
"1400000US17031081403","Census Tract 814.03, Cook County, Illinois","7366","6330","1036",
"1400000US17031081500","Census Tract 815, Cook County, Illinois","4407","3783","624",
"1400000US17031081600","Census Tract 816, Cook County, Illinois","3204","2873","331",
"1400000US17031081700","Census Tract 817, Cook County, Illinois","4226","3797","429",
"1400000US17031081800","Census Tract 818, Cook County, Illinois","8096","7371","725",
"1400000US17031081900","Census Tract 819, Cook County, Illinois","863","724","139",
"1400000US17031090100","Census Tract 901, Cook County, Illinois","1446","1370","76",
"1400000US17031090200","Census Tract 902, Cook County, Illinois","2966","2849","117",
"1400000US17031090300","Census Tract 903, Cook County, Illinois","548","514","34",
"1400000US17031100100","Census Tract 1001, Cook County, Illinois","2440","2296","144",
"1400000US17031100200","Census Tract 1002, Cook County, Illinois","3017","2882","135",
"1400000US17031100300","Census Tract 1003, Cook County, Illinois","2889","2713","176",
"1400000US17031100400","Census Tract 1004, Cook County, Illinois","1261","1217","44",
"1400000US17031100500","Census Tract 1005, Cook County, Illinois","2347","2283","64",
"1400000US17031100600","Census Tract 1006, Cook County, Illinois","1976","1898","78",
"1400000US17031100700","Census Tract 1007, Cook County, Illinois","1954","1897","57",
"1400000US17031110100","Census Tract 1101, Cook County, Illinois","2379","2276","103",
"1400000US17031110200","Census Tract 1102, Cook County, Illinois","1231","1171","60",
"1400000US17031110300","Census Tract 1103, Cook County, Illinois","2058","1978","80",
